Fred Mitchell,Sandy Alomar Jr,Jeff Bagwell,Craig Biggio,Barry Bonds,Jeff Cirillo,Royce Clayton,Roger Clemens,Jeff Conine,Steve Finley,Julio Franco,Shawn Green,Roberto Hernandez,Ryan Klesko,Kenny Lofton,Edgar Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jose Mesa,Jack Morris,Dale Murphy,Rafael Palmeiro,Mike Piazza,Tim Raines,Reggie Sanders,Curt Schilling,Aaron Sele,Lee Smith,Sammy Sosa,Mike Stanton,Alan Trammell,Larry Walker,Todd Walker,David Wells,Rondell White,Bernie Williams,Total Votes on Ballot,Ballot Link,Woody Williams
Jim Street,,,1,,,,,,,,,,,,1,,,,,1,,,,1,,1,,1,,,,,,,,,6,http://bit.ly/UtxS4P,
TR Sullivan,,1,1,1,,,1,,,,,,,,,,,,,1,,1,1,1,,,,,1,,1,,,,,,10,http://bit.ly/Zg7kd9,
Rick Telander,,,,,,,,,,,,,,,,1,,,,1,,,,1,,1,,1,,,1,,,,,,6,http://bit.ly/11ebLFl,
John Tomase,,1,,,,,,,,,,,,,1,,,,,1,1,,1,,,1,,,,,1,,,,,,7,http://bit.ly/VCL8pR,
Tom Verducci ,,1,1,,,,,,,,,,,,,,1,,,1,,,,1,,1,,,,,,,,,,,6,On TV,
Charley Waters,,1,1,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,5,http://bit.ly/VcDK4I,
Pete Abraham,,1,1,1,,,1,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,,,,8,http://bo.st/YFFy8O,
Dave Albee,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,http://bit.ly/X1fg0D,
Andrew Baggarly,,1,1,1,,,1,,,,,,,,1,,,,,,,,1,1,,,,,,,,1,,,,,8,http://bit.ly/XLkUo2,
Bill Ballou,,1,,1,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,5,,
Mike Bauman,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,4,http://atmlb.com/XJ90ee,
Jon Becker,,1,1,1,,,1,,,,,,,,1,,,,,,,,1,1,,,,,1,,1,1,,,,,10,http://bit.ly/Vbrq4W,
Jeff Blair,,,,1,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,5,http://bit.ly/XLkvlj,
Bob Brookover,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,http://bit.ly/TiFOpm,
Howard Bryant,Blank,Ballot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,http://es.pn/VfYxEA,
Marcos Breton,,1,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,http://bit.ly/UBseBG,
Tim Brown,,1,1,,,,,,,,,,,,1,,,,,,,,1,1,,1,,,,,1,,,,,,7,http://yhoo.it/T8zbqS,
Bill Christine,,1,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,4,,
Tim Cowlishaw,,1,,1,,,1,,,,,,,,1,,,1,,,,,,1,,,,,,,,1,,,,,7,http://dallasne.ws/YSj5oW,
Ken Davidoff,,1,1,1,,,1,,,,,,,1,1,,,,,,,,,1,,1,,,,,1,1,,,,,10,http://bit.ly/T8ySMH,
Jorge Ebro,,Blank,Ballot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,http://bit.ly/UtyFmm,
Gordon Edes,,1,1,1,,,1,,,,,,,,1,,,,,,,,1,1,,1,,,,,1,1,,,,,10,http://es.pn/VfYlFw,
Mark Faller,,Blank,Ballot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,http://bit.ly/VZftLl,
Martin Fennelly,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,5,http://bit.ly/VoqOVG,
Mike Fine,,1,,1,,,1,,,,,,,,1,,,,,,1,1,,1,,,,1,,,,1,,,,,9,http://bit.ly/UdOQVR,
Jeff Fletcher,,1,,1,,,1,,,,,,,,,,,1,,,,,,1,,1,,,1,,,,,,,,7,http://bit.ly/VgtUPx,
Steven Goldman,,1,1,,,,,,,,,,,,,,1,,,,,,1,1,,1,,1,,,1,,,,,,8,http://bit.ly/VfFgTE,
Mark Gonzales,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,3,http://trib.in/VCLpJb,
Teddy Greenstein,,1,1,,,,,,,,,,,,,1,,,,,,,,1,,1,,1,,,,,,,,,6,http://trib.in/VCLpJb,
Scot Gregor,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,5,http://bit.ly/VZp1pp,
Mark Hale,,1,1,1,,,1,,,,,,,1,1,,,1,,,,,1,,,1,,,,,,1,,,,,10,https://twitter.com/HaleMark/status/289072545372704769,
Mike Hart,,1,1,1,,,1,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,,,,8,http://bit.ly/XLlkKT,
Joe Henderson,,1,1,1,,,1,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,7,http://on.fb.me/UtykA8,
Lynn Henning,,1,1,1,,,1,,,,,,,,1,,,,,,,,1,1,,,,,,,1,,,,,,8,http://bit.ly/UNdQ4g,
Mark Herrmann,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,http://bit.ly/VCLT25,
Bob Herzog,,,1,1,,,1,,,,,,,,1,,1,1,,,,1,1,1,,,,,1,,,,,,,,10,http://bit.ly/VCLT25,
Bob Hohler,,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,4,,
Mike Hunt,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,http://bit.ly/XLlkKT,
Chris Jenkins,,Blank,Ballot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,http://bit.ly/XIyZm1,
Peter Kerasotis,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,3,http://bit.ly/VopWk6,
Ann Killion,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,
Bob Klapisch,,1,,1,,,1,,,,,,,,1,,,,,,,,1,1,,,,,,,1,,,,,,7,http://bit.ly/UdPbaZ,
Moss Klein,,,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,http://bit.ly/XLkk9L,
Michael Knisley,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,4,http://es.pn/VfYlFw,
Ron Kroichick,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,http://bit.ly/YYim5H,
Gabe Lacques,,1,1,1,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,8,http://usat.ly/XJ88WX,
Pierre Ladouceur,1,1,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,1,1,,,,,7,http://bit.ly/XJ8yg1,
Mike Lefkow,,1,1,1,,,1,,,,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,8,http://bit.ly/W61zqI,
Sean McAdam,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,http://bit.ly/Vb7Vt5,
John McGrath (partial) (i think?),,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,2,http://bit.ly/VwGw6f,
Stan McNeal,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,5,http://bit.ly/WbjhJk,
Jack Magruder,,1,1,1,,,1,,,,,,,,,,,,,,,1,1,1,,,,,1,,1,1,,,,,10,https://twitter.com/JackMagruder/status/289041405811249152,
Tony Massarotti,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,http://bit.ly/XLm5Up (video),
Wallace Matthews,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,3,http://es.pn/XJiA0A,
Kevin Modesti,,1,,1,,,1,,,,,,,,,,,1,,,,,1,1,,,,,1,,,,,,,,7,http://bit.ly/Vbrq4W,
Terrence Moore,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,5,http://atmlb.com/XJ90ee,
Carrie Muskat,,,1,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,5,http://atmlb.com/XJ90ee,
Mark Newman,,,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,5,http://atmlb.com/XJ90ee,
Bob Padecky (partial),,,,1,,,1,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,5,http://bit.ly/R28KTP,
Jill Painter (nice ballot o_O),,,1,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,6,http://bit.ly/Vbrq4W,
Peter Pascarelli,,1,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,6,http://es.pn/VfYlFw,
John Perrotto,,1,,1,,,1,,,,,,,,1,,,,,,,1,1,,,1,,,,,1,1,,,,,9,http://bit.ly/Vz9zSh,
Joe Posnanski,,1,1,1,,,1,,,,,,,,1,,,,,,,,1,1,,1,,,,,1,1,,,,,10,http://bit.ly/UB9vWQ,
Ron Rapoport,,,,1,,,1,,,,,,,,1,,,1,,,,1,1,,,,,1,1,,1,,,,,,9,http://bit.ly/YTMZKy,
Ken Rosenthal,,1,,,,,,,,,,,,,1,,1,,,,,,,1,,,,1,,,1,,,,,,6,http://on-msn.com/RC63c3,
Brendan Roberts,,1,1,1,,,1,,,,,,,,,,,1,,,,1,1,1,,1,,1,,,,,,,,,10,http://es.pn/VfYlFw,
Juan C Rodriguez,,1,1,,,,,,,,,,,,1,,,,,,,,1,1,,1,,1,,,1,1,,,,,9,https://twitter.com/JCRMarlinsbeat/status/289579076304379904,
Barry Rozner,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,,,,6,http://bit.ly/VZp1pp,
Mark Saxon,,1,1,1,,,1,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,7,http://es.pn/Vbaqvs,
Chaz Scoggins,,1,1,1,,,1,,,,,,,,,,,1,,,1,,1,1,,1,,1,,,,,,,,,10,http://bit.ly/T8zv8Y,
John Shea,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,,,6,http://bit.ly/XLlVfH,
Michael Silverman,,1,1,1,,,1,,,,,,,,1,,,1,,,,,1,1,,1,,,,,,,,,,,9,http://bit.ly/RYKvI2,
Tom Singer,,,1,1,,,1,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,,,,,7,http://atmlb.com/XJ90ee,
Clark Spencer,,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,,,,,5,http://bit.ly/UBpBzz,
Larry Stone,,1,1,1,,,1,,,,,,,,1,,,,,,,,1,1,,1,,,,,1,1,,,,,10,http://bit.ly/Vgd1Bh,
Paul Sullivan,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,3,http://trib.in/VCLpJb,
Marc Topkin,,1,1,1,,,1,,,,,,,,,,1,1,,,,,1,,,,,1,,,,,,,,,8,http://bit.ly/RD7B5q,
Bill Windler,,1,1,1,,,1,,,,,,,,,,,1,,,,,1,1,,1,,,1,,1,,,,,,10,http://bit.ly/XLlkKT,
Mark Zuckerman,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,,,,,6,http://bit.ly/VLYFeA,
