"Aaron Boone","Alan Trammell","Barry Bonds","Brian Giles","Carlos Delgado","Cliff Floyd","Craig Biggio","Curt Schilling","Darin Erstad","Don Mattingly","Eddie Guardado","Edgar Martinez","Fred McGriff","Gary Sheffield","Jack Morris","Jason Schmidt","Jeff Bagwell","Jeff Kent","Jermaine Dye","John Smoltz","Larry Walker","Lee Smith","Mark McGwire","Mike Mussina","Mike Piazza","Moises Alou","Nomar Garciaparra","Pedro Martinez","Randy Johnson","Rich Aurilia","Roger Clemens","Sammy Sosa","Tim Raines","Tom Gordon","Tony Clark","Troy Percival","timestamp"
"David Ammenheuser","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41632"
"David Barron","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","41645"
"David Borges","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","41616"
"David Lariviere","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","1","0","1","0","1","1","0","0","1","1","0","0","0","0","0","0","0","41629"
"David Lennon","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41636"
"David Leon Moore","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41645"
"Dejan Kovacevic","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41639"
"Dennis Maffezzoli","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41643"
"Dennis Manoloff","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Dennis Semrau","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41642"
"Derrick Goold","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41635"
"Dom Amore","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Don Burke","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Drew Olson","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41643"
"Ed Hilt","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","1","0","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Eduardo Almada","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","41641"
