"Aaron Sele","Alan Trammell","Ballot Link","Barry Bonds","Bernie Williams","Craig Biggio","Curt Schilling","Dale Murphy","David Wells","Don Mattingly","Edgar Martinez","Fred McGriff","Jack Morris","Jeff Bagwell","Jeff Cirillo","Jeff Conine","Jose Mesa","Julio Franco","Kenny Lofton","Larry Walker","Lee Smith","Mark McGwire","Mike Piazza","Mike Stanton","Rafael Palmeiro","Reggie Sanders","Roberto Hernandez","Roger Clemens","Rondell White","Royce Clayton","Ryan Klesko","Sammy Sosa","Sandy Alomar Jr","Shawn Green","Steve Finley","Tim Raines","Todd Walker","Total Votes on Ballot","Woody Williams","timestamp"
"Joe Christensen","0","1","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Joe Haakenson","0","1","1","0","0","1","1","1","0","1","0","0","1","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Joe Henderson","0","0","1","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Joe Posnanski","0","1","1","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Joey Johnston","0","0","1","1","0","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"John Delcos","0","0","1","0","0","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"John McGrath","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"John Perrotto","0","1","1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"John Shea","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"John Tomase","0","1","1","0","0","0","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
