"Arthur Rhodes","Barry Bonds","Billy Wagner","Carlos Guillen","Casey Blake","Curt Schilling","Derrek Lee","Edgar Martinez","Edgar Renteria","Fred McGriff","Freddy Sanchez","Gary Sheffield","Ivan Rodriguez","J.D. Drew","Jason Varitek","Jeff Bagwell","Jeff Kent","Jorge Posada","Larry Walker","Lee Smith","Magglio Ordonez","Manny Ramirez","Matt Stairs","Melvin Mora","Mike Cameron","Mike Mussina","Orlando Cabrera","Pat Burrell","Roger Clemens","Sammy Sosa","Tim Raines","Tim Wakefield","Trevor Hoffman","Vlad Guerrero","timestamp"
"Jay Greenberg","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42376"
"Jean-Jacques Taylor","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42358"
"Jeff Blair","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","42379"
"Jeff Fletcher","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","42360"
"Jeff Jacobs","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42352"
"Jeff Passan","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","42352"
"Jeff Peek","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42380"
"Jeff Schultz","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42361"
"Jeff Vorva","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","42358"
"Jeffrey Flanagan","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","1","1","42358"
"Jerry Crasnick","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42367"
"Jim Molony","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","42346"
"Jim Reeves","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","42009"
"Jim Street","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","42377"
"Jimmy Golen","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","42357"
"Joe Henderson","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","1","42350"
"Joe McDonald","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","0","1","42359"
"Joe Stiglich","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","42360"
"John Canzano","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","0","42372"
"John Delcos","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","42372"
"John Fay","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","42367"
"John Harper","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42367"
"John Romano","0","1","0","0","0","1","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","42360"
