"Alan Trammell","Barry Bonds","Craig Biggio","Curt Schilling","Don Mattingly","Edgar Martinez","Eric Gagne","Frank Thomas","Fred McGriff","Greg Maddux","Hideo Nomo","JT Snow","Jack Morris","Jacque Jones","Jeff Bagwell","Jeff Kent","Kenny Rogers","Larry Walker","Lee Smith","Luis Gonzalez","Mark McGwire","Mike Mussina","Mike Piazza","Mike Timlin","Moises Alou","Paul Lo Duca","Rafael Palmeiro","Ray Durham","Richie Sexson","Roger Clemens","Sammy Sosa","Sean Casey","Tim Raines","Todd Jones","Tom Glavine","timestamp"
"Gerry Fraley","1","1","1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"Glen Crevier","0","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Glenn Schwarz","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Gordon Edes","0","1","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Gordon Wittenmyer","1","0","1","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Greg Beacham","0","1","1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Greg Cote","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Gregg Patton","0","0","1","1","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Gregg Wong","0","0","1","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Guy Curtright","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Hal Bodley","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Hal McCoy","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Henry Hecht","0","0","0","1","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Henry Schulman","0","1","1","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Howard Bryant","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Ian OConnor","0","1","1","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Ivy McLemore","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","41639"
"Jack Curry","0","0","1","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Jack Magruder","0","1","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0"
"Jack McCaffery","0","1","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0"
"Jay Dunn","0","0","1","1","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Jayson Stark","0","0","1","0","0","0","0","1","0","1","0","0","1","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Jeff Blair","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Jeff Fletcher","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Jeff Horrigan","0","1","1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0"
"Jeff Jacobs","0","0","1","1","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Jeff Passan","0","1","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Jeff Vorva","0","0","1","1","0","1","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Jeffrey Flanagan","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0"
"Jerry Crasnick","0","0","1","1","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Jerry Dowling","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
