Joe Henderson,,1,1,1,,1,,,1,,,,,,1,,,1,,1,,,,1,,,,,,,,1,,,,10,http://bit.ly/1kpb9qW,89,98,9,13,6,6,17,0,18,0,0,2,0,10,0,10,0,0,0,0,15,0,0,,0,
Jim Henneman,,1,1,,,,,,1,,,,,,1,,,,,1,1,,,1,1,,,,,,,1,,1,,10,http://bit.ly/1eTXDJh,78,100,9,13,0,0,17,0,18,0,0,0,0,10,3,10,8,0,0,0,15,3,0,,0,
Lynn Henning,,1,1,1,,1,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,1,,1,,10,http://bit.ly/1eKC5tK,100,96,9,13,6,6,17,0,18,0,0,0,0,0,0,10,8,0,0,0,15,3,0,,0,
Mark Herrmann,,,1,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,5,bbwaa.com/14-hof-ballots,24,73,0,13,0,0,17,0,18,0,0,0,0,0,0,10,0,0,0,0,15,0,0,,25,
Phil Hersh,,,1,,,,,,1,,,,,,1,1,1,,,1,,,,,1,,,,1,,,1,,,1,10,http://bit.ly/1aaqmFq,60,90,0,13,0,0,17,0,18,4,1,0,0,10,0,0,8,0,5,0,15,0,2,,0,
Bob Herzog,,,1,1,,1,,,1,,,,,,1,,,,1,,,,1,1,,,,,,,1,1,,,,10,http://bit.ly/1ePbH6M http://bit.ly/1ePbHUj,87,87,0,13,6,6,17,0,18,0,0,0,2,0,0,10,0,0,0,1,15,0,0,,0,
Brian Heyman,,,1,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,5,http://bit.ly/JHGvZe,24,73,0,13,0,0,17,0,18,0,0,0,0,0,0,10,0,0,0,0,15,0,0,,25,
Jon Heyman,,,1,,,,,,1,,,,,,1,,1,1,,1,,,,,1,,1,,,,,1,,1,,10,http://cbsprt.co/1fb7QkS,63,89,0,13,0,0,17,0,18,0,1,2,0,10,0,0,8,5,0,0,15,3,0,,0,
John Hickey,,,,1,,,,,1,,,,1,,1,1,,,1,1,,,,,,,,,1,,,,,,,8,http://bit.ly/KCb9nv,46,64,0,0,6,0,17,2,18,4,0,0,2,10,0,0,0,0,5,0,0,0,0,,4,
Sean Horgan,,,1,,,,,,1,,,,1,,1,,,,,1,1,,,,,,,,,,,1,,,,7,http://bit.ly/1cojNiB,40,78,0,13,0,0,17,2,18,0,0,0,0,10,3,0,0,0,0,0,15,0,0,,9,
Paul Hoynes,,1,1,,,,,,1,,,,,,1,1,,,,1,,,,,1,,,,1,,,1,,1,,10,http://bit.ly/1awsrsc,70,95,9,13,0,0,17,0,18,4,0,0,0,10,0,0,8,0,5,0,15,3,0,,0,
Michael Hunt,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,http://bit.ly/1cBkpBw,-21,48,0,13,0,0,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49,
Rick Hurd,,,1,1,,1,,,,,,,,,1,1,,,,1,,,,1,1,,1,,1,,,,,,,10,http://bit.ly/KCb9nv,79,76,0,13,6,6,0,0,18,4,0,0,0,10,0,10,8,5,5,0,0,0,0,,0,
Mike Imrem,,,,1,,1,,,1,,,,,,1,,,,1,1,,,,1,,,1,,,,1,1,,,,10,http://bit.ly/19QyWJz,84,87,0,0,6,6,17,0,18,0,0,0,2,10,0,10,0,5,0,1,15,0,0,,0,
Jim Ingraham,,1,1,,,,,,1,,,,,,1,1,,1,,1,1,,,,1,,,,,,,1,,,,10,http://bit.ly/1ag5WYe,71,94,9,13,0,0,17,0,18,4,0,2,0,10,3,0,8,0,0,0,15,0,0,,0,
Jerry Izenberg,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,3,http://bit.ly/1dfIZuk,-27,41,0,13,0,0,0,0,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,49,
Jeff Jacobs,,1,1,,,,,,1,,,,,,1,1,,,,1,,,,1,1,,1,,,,,1,,,,10,http://cour.at/19DLgPB,78,100,9,13,0,0,17,0,18,4,0,0,0,10,0,10,8,5,0,0,15,0,0,,0,
Richard Justice,,1,1,,,,,,1,,,,,,1,,,,,1,1,,,,1,,1,,,,,1,,1,,10,http://bit.ly/18OOw7P,74,95,9,13,0,0,17,0,18,0,0,0,0,10,3,0,8,5,0,0,15,3,0,,0,
Dick Kaegel,,1,1,,,,,,1,,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,7,http://atmlb.com/1acHryM,35,75,9,13,0,0,17,0,18,0,0,0,0,10,0,0,0,0,5,0,0,3,0,,9,
Tim Kawakami,,1,1,1,,1,,,1,,,,,,1,,,,,1,,,,,1,,1,,,,,1,,,,10,http://bit.ly/1cJwIhE,92,96,9,13,6,6,17,0,18,0,0,0,0,10,0,0,8,5,0,0,15,0,0,,0,
Kevin Kernan,,,1,,,,,,1,,,,,,1,,,,,1,,,,1,1,,,,,,,1,,,,7,http://bit.ly/1htAEVL,50,91,0,13,0,0,17,0,18,0,0,0,0,10,0,10,8,0,0,0,15,0,0,,9,
George A King III,,,1,1,,1,,,1,,,,,,1,,,,1,,,,1,1,,,,,,,1,1,,,,10,http://bit.ly/1htAEVL,87,87,0,13,6,6,17,0,18,0,0,0,2,0,0,10,0,0,0,1,15,0,0,,0,
Bob Klapisch,,1,1,1,,1,,,1,,,,,,1,,,,,,1,,,1,1,,,,,,,1,,,,10,http://bit.ly/1havdeg,100,96,9,13,6,6,17,0,18,0,0,0,0,0,3,10,8,0,0,0,15,0,0,,0,
Fred Klein,,,1,,,,,,1,,,,,,1,1,,,,1,,,,1,,,1,,1,,,1,,1,,10,http://bit.ly/1cMsdRq,66,93,0,13,0,0,17,0,18,4,0,0,0,10,0,10,0,5,5,0,15,3,0,,0,
Moss Klein,,,1,1,,1,,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,7,http://bit.ly/1iTaigp,68,85,0,13,6,6,17,0,18,0,0,0,0,0,0,10,0,0,0,0,15,0,0,,9,
Michael Knisley,,,1,,,,,,1,,,,1,,1,1,,,,,,,,1,,,,,1,,,1,,,,8,http://es.pn/1hqKN5G,54,84,0,13,0,0,17,2,18,4,0,0,0,0,0,10,0,0,5,0,15,0,0,,4,
Mark Kreidler,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,4,http://bit.ly/1eWQPL3,4,63,0,13,0,0,17,0,18,0,0,0,0,0,0,0,0,0,0,0,15,0,0,,36,
Dave Krieger,,1,1,,,,,,1,,,,,,1,1,,,,1,,,,1,1,,,,,,,1,,1,,10,http://bit.ly/Ko8jlZ,78,100,9,13,0,0,17,0,18,4,0,0,0,10,0,10,8,0,0,0,15,3,0,,0,
Roch Kubatko,,1,1,,,,,,1,,,,,,1,1,,,,1,1,,,1,1,,,,,,,1,,,,10,http://bit.ly/1cpIwj0,78,100,9,13,0,0,17,0,18,4,0,0,0,10,3,10,8,0,0,0,15,0,0,,0,
Tim Kurkjian,,1,1,1,,1,,,1,,,,,,1,,,,,1,,,,1,1,,,,,,,1,,,,10,http://es.pn/1hqKN5G,96,100,9,13,6,6,17,0,18,0,0,0,0,10,0,10,8,0,0,0,15,0,0,,0,
Marc Lancaster,,1,1,,,,,,1,,,,,,1,1,,,,1,,,,1,,,1,,,,,1,,1,,10,http://bit.ly/1bPkDRV,74,97,9,13,0,0,17,0,18,4,0,0,0,10,0,10,0,5,0,0,15,3,0,,0,
Dave Lariviere,,,1,,,,,,1,,,,,,1,,,1,,,1,,,1,,,,,1,,,1,,,,8,http://onforb.es/18qTcCY,53,83,0,13,0,0,17,0,18,0,0,2,0,0,3,10,0,0,5,0,15,0,0,,4,
Mike Lefkow,,1,1,1,,1,,,1,,,,,,1,,,,1,,,,,1,,,,,1,,,1,,,,10,http://bit.ly/KCb9nv,92,94,9,13,6,6,17,0,18,0,0,0,2,0,0,10,0,0,5,0,15,0,0,,0,
David Lennon,,1,1,1,,1,,,1,,,,,,1,,,,,,,,,1,1,,1,,,,,1,,,,10,http://bit.ly/1cJQSTw,100,96,9,13,6,6,17,0,18,0,0,0,0,0,0,10,8,5,0,0,15,0,0,,0,
Thom Loverro,,1,1,,,,,,1,,,,,,1,,,1,,1,1,,,1,,,1,,,,,1,,,,10,http://bit.ly/1jBg5si,71,97,9,13,0,0,17,0,18,0,0,2,0,10,3,10,0,5,0,0,15,0,0,,0,
Rob Maaddi,,,,1,,1,,,1,,,,,,1,,,,1,,,,1,1,,,1,,,,1,1,,,,10,http://bit.ly/1a1F9Px,85,79,0,0,6,6,17,0,18,0,0,0,2,0,0,10,0,5,0,1,15,0,0,,0,
Bill Madden,,,1,,,,,,1,,,,1,,1,,,1,,1,,,,,,,1,,,,,1,,,,8,http://nydn.us/19dfcS3,47,82,0,13,0,0,17,2,18,0,0,2,0,10,0,0,0,5,0,0,15,0,0,,4,
Jack Magruder,,1,1,1,,1,,,,,,,,,1,,,,,,,,1,1,,,,,,,1,1,,,1,10,http://bit.ly/18YDbo6,87,79,9,13,6,6,0,0,18,0,0,0,0,0,0,10,0,0,0,1,15,0,2,,0,
Steven Marcus,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,3,http://bit.ly/1dPK0Ie,-22,43,0,0,0,0,0,0,18,0,0,0,0,10,0,0,0,0,0,0,15,0,0,,49,
David Maril,,,1,1,,1,,,1,,,,,,1,,,,1,,1,,,1,,,,,,,1,1,,,,10,http://bit.ly/1fOL0vv,90,88,0,13,6,6,17,0,18,0,0,0,2,0,3,10,0,0,0,1,15,0,0,,0,
Tony Massarotti,,,,1,,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,6,http://bit.ly/1lDJA8m,50,66,0,0,6,6,17,0,18,4,0,0,0,0,0,0,0,0,0,0,15,0,0,,16,
Wallace Matthews,,1,1,,,,,,1,,,,,,1,,,,,,1,,,1,1,,1,,,,,1,,,1,10,http://es.pn/1havE8z,80,95,9,13,0,0,17,0,18,0,0,0,0,0,3,10,8,5,0,0,15,0,2,,0,
Marc Maturo,,,1,1,,1,,,1,,,,1,,1,1,,,,1,,,,1,1,,,,,,,,,,,10,http://bit.ly/18OP25S,83,88,0,13,6,6,17,2,18,4,0,0,0,10,0,10,8,0,0,0,0,0,0,,0,
Sean McAdam,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,5,http://bit.ly/19QdsyG,22,64,9,0,0,0,17,0,18,0,0,0,0,0,0,0,0,5,0,0,15,0,0,,25,
Jack McCaffery,,,1,1,,1,,,1,,,,,,1,,,,1,1,,,,1,,,,,,,,1,,,,9,http://bit.ly/1cV1oHv,82,95,0,13,6,6,17,0,18,0,0,0,2,10,0,10,0,0,0,0,15,0,0,,1,
Anthony McCarron,,1,,,,,,,1,,,,,,1,1,,,,1,1,,,1,1,,1,,,,,1,,,,10,http://nydn.us/19dfcS3,76,92,9,0,0,0,17,0,18,4,0,0,0,10,3,10,8,5,0,0,15,0,0,,0,
Dan McGrath,,,1,,,,,,1,,,,,,1,,,,,1,1,,,,,,1,,,,,1,,1,,8,http://bit.ly/1AVvCJY,52,84,0,13,0,0,17,0,18,0,0,0,0,10,3,0,0,5,0,0,15,3,0,,4,
