Gordon Edes,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,,,,,,10,http://bit.ly/1JVdZ0R,12/27/2014,,13,13,13,13,9,9,9,0,7,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Boston,
Chris Elsberry,,,1,1,,,,,,,,,,,,,1,,1,,1,1,1,,,,1,1,,,,1,,,,,10,Facebook,1/6/2015,,0,0,13,0,9,9,9,0,0,0,0,7,0,4,4,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,New York,
Mark Faller,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/16EIDMT,12/20/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Arizona,
Jeffrey Flanagan,,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,1,,,,1,1,1,,,10,http://bit.ly/1xck4j0,12/24/2014,,13,13,13,13,9,0,9,0,0,0,7,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Kansas City,
Jeff Fletcher,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,1,,1,,,,10,http://bit.ly/1yvHP8X,1/6/2015,,13,13,13,13,9,9,9,0,7,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Los Angeles,
Carlos Frias,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,8,http://bit.ly/1JQEWTn,12/24/2014,,0,0,13,13,9,9,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,67,Miami,
Peter Gammons,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1EFgC72,12/30/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Boston,
Michael Gee,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1uveuUl,12/12/2014,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Boston,
Dan Gelston,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,1,,,,9,http://bit.ly/1tDaTEu,1/5/2015,,13,13,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,92,Philadelphia,
Pedro Gomez,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,,,,,1,1,,1,,7,http://es.pn/1rU0d92,1/4/2015,,0,0,13,13,0,0,0,7,0,7,7,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,42,ESPN,
Mark Gonzales,,,1,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,,,,,1,,,,8,http://trib.in/1zJsJrv,1/2/2015,,0,0,13,13,9,9,9,0,0,0,7,0,0,4,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,62,Chicago,
Derrick Goold,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,1,10,http://bit.ly/1HbmUZW,12/29/2014,,0,0,13,13,9,9,9,0,7,7,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,St. Louis,
Rick Gosselin,,,1,1,1,,,1,,,,,,,,,1,,,,1,,,,,,,1,,,,,1,,1,,9,http://bit.ly/1A84RDh,1/3/2015,,13,13,13,0,0,9,9,7,0,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,78,Dallas,
Evan Grant,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,,,,,1,,1,1,10,http://bit.ly/1w401iA / http://bit.ly/1A84RDh,12/18/2014,,0,0,13,13,9,9,9,7,0,7,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Dallas,
Dan Graziano,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,1,,,,,1,,1,,7,http://es.pn/1rU0d92,1/4/2015,,0,0,13,13,0,0,9,7,0,0,7,0,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,45,New York/ESPN,
Jerry Green,,,,1,,,,1,,,,,,,,,1,,1,1,,,1,,,,1,1,,,1,,,,1,,10,http://bit.ly/1vK01oi,1/3/2015,,0,13,13,13,9,0,9,7,0,0,0,7,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,Detroit,
Teddy Greenstein,,,1,1,,,,,,,,,,,,,1,,,1,1,,,,,,1,1,1,,,1,1,,,,10,http://trib.in/1zJsJrv,1/2/2015,,0,0,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,Chicago,
Alan Greenwood,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1CNgVuu,12/26/2014,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Boston,
Scot Gregor,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,8,http://bit.ly/1Ka22EM,1/3/2015,,0,0,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,70,Chicago,
Richard Griffin,,,1,1,1,,,1,1,,,,,,,,1,,,1,,,,,,,1,1,,,,,,,,1,10,http://on.thestar.com/1xM2WRi,1/5/2015,,13,13,13,13,9,9,9,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,Toronto,
Bill Griffith,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,1,1,,1,,10,Via Email,1/6/2015,,0,0,13,13,9,0,9,7,7,7,7,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,Boston,
Paul Gutierrez,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,,,,1,1,,,,9,http://es.pn/1rU0d92,1/4/2015,,0,0,13,13,9,0,9,0,0,0,7,7,0,4,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,64,ESPN,
Joe Haakenson,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,,,1,1,1,,,,1,,1,,10,http://bit.ly/1ALtoe5,12/21/2014,,0,0,13,13,9,9,9,7,7,0,7,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Los Angeles,
Chris Haft,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,,,1,,,,,1,1,,,,8,http://atmlb.com/13UqbxC,1/5/2015,,0,0,13,13,9,9,0,0,0,0,7,7,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,57,Bay Area,
Mark Hale,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,1,,,,10,http://bit.ly/1CYp0Kf,12/26/2014,,13,13,13,13,9,9,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,New York,
John Harper,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,,1,,1,,10,http://nydn.us/1AzWRtJ,1/6/2015,,0,0,13,13,9,9,9,7,7,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,New York,
Tom Haudricourt,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1DcWrvy,1/5/2015,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Milwaukee,
Henry Hecht,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,1,1,,,,1,,1,,8,Via email,12/20/2014,,0,0,13,13,0,0,9,7,7,7,7,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,62,New York,
Joe Henderson,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,8,http://on.fb.me/1zhe5LJ,12/15/2014,,13,13,13,13,9,9,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,80,Tampa,
Mark Herrmann,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,5,http://nwsdy.li/1tDUIqo,1/5/2015,,0,0,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,24,New York,
Phil Hersh,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,1,,,1,,,,1,1,,,1,10,http://trib.in/1zJsJrv,1/2/2015,,0,0,13,13,0,0,9,0,0,7,7,7,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,Chicago,
Bob Hertzel (8 of 10),,,,1,1,,,1,,,,,,,,,1,,,1,1,,,,,,,1,,,,,1,,,,10,http://bit.ly/1rgdNDH,12/19/2014,,13,13,13,13,0,0,9,0,0,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,Pittsburgh,
