voter,Jeff Bagwell ,Vinny Castilla,Juan Gonzalez ,Barry Larkin ,Edgar Martinez ,Don Mattingly ,Fred McGriff ,Mark McGwire ,Jack Morris ,Bill Mueller,Dale Murphy ,Rafael Palmeiro ,Tim Raines ,Lee Smith ,Alan Trammell ,Larry Walker ,Bernie Williams ,Total Votes on Ballot,Ballot URL
Ron Chimelis,1,,,1,,,1,,1,,,,,,,,,4,http://bit.ly/tblOE4
Tim Cowlishaw,1,,,1,1,,,,,,,,1,,,1,,5,http://dallasne.ws/vxmx02
Jerry Crasnick,1,,,1,1,,1,,1,,,,1,1,,,,7,http://es.pn/wIBqt9 
Jack Curry,1,,,1,1,,,,1,,,,1,,,,,5,http://bit.ly/tQDmkG
Ken Davidoff,1,,,1,1,,,1,,,,1,1,,1,1,,8,http://bit.ly/rOsqf7
Tony DeMarco,1,,,1,1,,1,,1,,,,,1,1,1,,8,http://bit.ly/t1evwJ
Tom Dienhart,,,,1,,,,,1,,1,,1,1,,,,5,http://bit.ly/sbNLK6
Chris Elsberry,,,1,1,,,1,,1,,,,,1,,,,5,http://bit.ly/uJ2KJH
John Erardi,1,,,1,1,,1,,,,1,,1,,1,1,,8,http://cin.ci/uQIE36
Jeff Fletcher,1,,,1,,,,1,,,,,1,,,,,4,http://bit.ly/tWXdDc
Gerry Fraley,1,,,1,1,,,,1,,1,,,,1,,,6,http://bit.ly/uXSrXw 
Peter Gammons (tent),1,,,1,,,,,,,,,1,1,,,,4,http://bit.ly/vj7tZc
Pedro Gomez,,,,1,,,,,1,1,,,,1,1,,,5,http://es.pn/wIBqt9 
Mike Gonzales,,,,1,1,,,,,,,,1,,,,,3,http://bit.ly/uk6RGl
Evan P Grant,,,,1,,,,,1,,,,1,1,1,,1,6,http://bit.ly/rz9xdX 
Dan Graziano,1,,,1,,,,,1,,,,,,,,,3,http://es.pn/wIBqt9 
Teddy Greenstein,1,,,1,,1,,,,,,,1,1,,,,5,http://bit.ly/uk6RGl
Scot Gregor,,,,1,,,,,1,,,,,,,,,2,http://bit.ly/tVcJ9L 
Richard Griffin,1,,,1,,,,,1,,,,1,,,1,,5,http://bit.ly/ukBdrc
